"Inequality in income (%)"
"HDI Rank (2015)","Country","2010","","2011","","2012","","2013","","2014","","2015",""
"19","Israel","23.7","","23.7","","23.7","","19.6","","25.0","","26.4"," a"
"26","Italy","19.4","","16.8","","18.1","","19.8","","19.8","","20.8"," a"
"94","Jamaica","24.1","","24.1","","30.1","","30.1","","30.1","","30.1"," a"
"17","Japan","","","","","","","13.5","","13.5","","13.5"," a"
"86","Jordan","18.7","","21.1","","21.1","","21.1","","20.5","","20.5"," a"
"56","Kazakhstan","17.6","","13.8","","17.3","","12.7","","12.7","","12.7"," a"
"146","Kenya","28.8","","36.0","","36.0","","36.0","","36.0","","33.1"," a"
"137","Kiribati","","","","","","","48.4","","48.4","","48.4"," a"
"18","Korea (Republic of)","18.4","","18.4","","18.4","","18.4","","18.4","","18.4"," a"
"120","Kyrgyzstan","12.2","","12.2","","24.1","","24.1","","17.7","","17.7"," a"
"138","Lao People's Democratic Republic","15.5","","15.5","","20.6","","16.8","","20.3","","20.3"," a"
"44","Latvia","20.5","","21.0","","20.9","","19.8","","20.5","","20.3"," a"
"76","Lebanon","","","30.0","","30.0","","30.0","","30.0","","30.0"," a"
"160","Lesotho","39.5","","47.0","","47.0","","47.0","","47.0","","47.0"," a"
"177","Liberia","19.0","","19.0","","19.0","","19.0","","22.7","","22.7"," a"
"37","Lithuania","20.6","","17.5","","20.1","","18.6","","17.5","","19.6"," a"
"20","Luxembourg","15.7","","13.5","","11.6","","13.1","","13.9","","15.1"," a"
"158","Madagascar","19.3","","36.1","","36.1","","36.1","","20.4","","20.4"," a"
"170","Malawi","19.7","","19.7","","23.1","","24.6","","27.7","","32.5"," a"
"59","Malaysia","28.7","","","","","","","","","","",""
"105","Maldives","19.5","","23.2","","23.2","","23.2","","23.2","","23.2"," a"
"175","Mali","25.4","","","","","","","","16.1","","16.1"," a"
"33","Malta","","","","","13.6","","14.1","","13.3","","13.6"," a"
"157","Mauritania","21.5","","21.5","","23.8","","21.2","","21.2","","21.2"," a"
"64","Mauritius","","","16.6","","16.6","","19.8","","19.8","","19.8"," a"
"77","Mexico","31.6","","35.6","","35.6","","34.6","","34.6","","34.3"," a"
"127","Micronesia (Federated States of)","63.1","","63.1","","","","63.1","","","","",""
"107","Moldova (Republic of)","19.4","","18.9","","17.0","","18.9","","14.0","","14.0"," a"
"92","Mongolia","16.4","","16.4","","19.7","","12.3","","12.3","","12.3"," a"
"48","Montenegro","12.6","","11.3","","12.6","","11.3","","12.6","","13.6"," a"
"123","Morocco","20.7","","23.0","","23.0","","23.0","","23.0","","23.0"," a"
"181","Mozambique","58.1","","25.8","","37.0","","28.4","","28.4","","28.4"," a"
"125","Namibia","68.3","","68.3","","68.3","","68.3","","68.3","","53.6"," a"
"144","Nepal","26.4","","37.4","","37.4","","18.3","","15.1","","13.9"," a"
"7","Netherlands","15.3","","12.5","","12.3","","11.8","","11.6","","12.4"," a"
"124","Nicaragua","23.8","","33.6","","33.6","","31.0","","28.3","","32.1"," a"
"187","Niger","21.1","","17.9","","17.9","","17.9","","12.3","","12.3"," a"
"152","Nigeria","25.1","","28.8","","34.5","","34.5","","28.4","","28.4"," a"
"1","Norway","13.1","","10.6","","12.8","","10.7","","10.2","","10.4"," a"
"147","Pakistan","10.6","","11.0","","11.0","","11.0","","11.6","","11.6"," a"
"60","Palau","","","","","","","23.0","","23.0","","23.0"," a"
"114","Palestine, State of","","","","","","","15.0","","15.0","","15.0"," a"
"60","Panama","52.6","","40.5","","40.5","","35.8","","36.5","","38.0"," a"
"110","Paraguay","33.4","","33.4","","33.4","","34.6","","30.1","","38.3"," a"
"87","Peru","42.7","","30.0","","32.5","","30.6","","31.9","","29.5"," a"
"116","Philippines","28.0","","30.0","","30.0","","25.2","","26.8","","26.8"," a"
"36","Poland","18.4","","16.3","","17.1","","17.9","","17.5","","17.4"," a"
"41","Portugal","23.9","","19.3","","20.8","","19.9","","20.3","","20.4"," a"
"50","Romania","12.2","","22.2","","22.2","","17.3","","17.1","","19.5"," a"
"49","Russian Federation","11.9","","11.9","","11.9","","22.9","","18.7","","17.7"," a"
"159","Rwanda","31.5","","34.5","","30.2","","39.6","","35.2","","36.4"," a"
"92","Saint Lucia","","","","","","","","","27.4","","27.4"," a"
"142","Sao Tome and Principe","","","44.2","","44.2","","44.2","","25.8","","25.8"," a"
"162","Senegal","21.1","","23.9","","21.6","","22.7","","27.7","","27.7"," a"
"66","Serbia","12.2","","10.3","","10.3","","13.5","","13.5","","17.4"," a"
"179","Sierra Leone","22.2","","31.0","","31.0","","31.0","","19.2","","19.2"," a"
"40","Slovakia","11.7","","9.6","","11.3","","11.5","","11.3","","11.4"," a"
"25","Slovenia","12.2","","8.5","","9.9","","10.6","","11.0","","11.3"," a"
"156","Solomon Islands","","","","","","","26.3","","26.3","","26.3"," a"
"119","South Africa","40.9","","","","","","","","57.3","","56.4"," a"
"27","Spain","18.5","","16.7","","19.7","","22.1","","23.9","","21.8"," a"
"73","Sri Lanka","20.8","","20.8","","20.8","","19.6","","13.7","","13.7"," a"
"97","Suriname","34.9","","34.9","","32.8","","37.3","","37.3","","37.3"," a"
"148","Swaziland","32.3","","40.9","","40.9","","37.6","","37.6","","37.6"," a"
"14","Sweden","13.0","","10.3","","11.2","","12.4","","13.1","","13.1"," a"
"2","Switzerland","14.3","","14.3","","14.3","","13.2","","12.3","","15.7"," a"
"149","Syrian Arab Republic","18.3","","18.3","","18.3","","18.3","","18.3","","18.3"," a"
"129","Tajikistan","15.3","","15.3","","15.0","","15.0","","15.0","","15.0"," a"
"151","Tanzania (United Republic of)","17.6","","20.6","","20.9","","20.9","","22.7","","22.7"," a"
"87","Thailand","34.0","","34.0","","34.0","","34.0","","34.0","","34.0"," a"
"82","The former Yugoslav Republic of Macedonia","21.8","","21.8","","21.8","","21.8","","30.1","","30.1"," a"
"133","Timor-Leste","19.2","","17.8","","17.8","","17.8","","17.8","","17.8"," a"
"166","Togo","20.0","","20.0","","20.0","","23.5","","23.5","","23.5"," a"
"65","Trinidad and Tobago","21.9","","21.9","","21.9","","21.9","","21.9","","21.9"," a"
"97","Tunisia","21.8","","21.8","","","","","","18.9","","18.9"," a"
"71","Turkey","26.5","","26.5","","26.5","","21.8","","21.8","","21.8"," a"
"111","Turkmenistan","38.7","","","","","","","","","","",""
"163","Uganda","26.4","","29.1","","29.1","","27.3","","27.3","","27.3"," a"
"84","Ukraine","10.4","","10.9","","10.9","","10.9","","9.2","","9.2"," a"
"16","United Kingdom","21.0","","17.3","","16.9","","18.8","","17.8","","16.2"," a"
"10","United States","23.5","","32.4","","24.1","","35.6","","35.6","","27.0"," a"
"54","Uruguay","26.3","","27.8","","27.9","","27.1","","24.2","","26.2"," a"
"105","Uzbekistan","17.9","","17.9","","20.1","","20.1","","20.1","","20.1"," a"
"134","Vanuatu","","","","","","","18.5","","18.5","","18.5"," a"
"71","Venezuela (Bolivarian Republic of)","32.0","","44.9","","44.9","","28.4","","28.4","","28.4"," a"
"115","Viet Nam","18.2","","11.4","","11.4","","14.6","","22.0","","21.4"," a"
"168","Yemen","17.6","","17.6","","17.6","","17.6","","20.6","","20.6"," a"
"139","Zambia","20.8","","20.8","","42.6","","42.6","","42.6","","48.6"," a"
"154","Zimbabwe","34.5","","34.5","","35.8","","35.8","","35.8","","35.8"," a"
