77,Philippines,64,0.739,70.5,66.8,94.6,95.1,85,80,2512,4580
78,Ukraine,63,0.74,73.9,64.2,99.4,99.7,80,74,2327,4191
80,Peru,70,0.723,71.2,66.2,84.3,94.2,77,79,2104,6493
81,Paraguay,71,0.723,72.2,67.7,91.5,94,64,65,2058,6481
82,Lebanon,74,0.718,71.9,68.3,79.1,91.5,77,76,1985,6777
83,Jamaica,67,0.732,77,73,89.9,81.9,63,62,2629,4163
84,Sri Lanka,68,0.727,75.6,71.1,88.3,94.1,67,65,1927,4050
85,Turkey,69,0.726,72,66.8,75,92.9,54,67,4703,8104
86,Oman,82,0.697,73.5,69.1,57.5,78,57,60,2651,16404
87,Dominican Republic,73,0.72,73.3,69.2,82.8,82.9,72,68,2333,6787
88,Saint Lucia,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
89,Maldives,72,0.72,63.8,66.1,96,96,75,74,3009,5100
90,Azerbaijan,-1,-1,74.3,65.8,-1,-1,71,71,-1,-1
91,Ecuador,78,0.701,72.7,67.5,88.7,92.5,72,75,1173,4818
92,Jordan,-1,-1,71.8,69.1,82.6,94.2,-1,-1,-1,-1
93,Armenia,75,0.718,73.8,67.4,97.3,99.2,68,75,1667,2501
94,Albania,77,0.708,76,70.1,76.2,90.5,68,67,1977,3594
95,Samoa,-1,-1,73.9,69.6,78.2,81.1,66,64,-1,-1
96,Guyana,80,0.698,68.2,61.5,97.8,98.8,66,65,1852,4994
97,Iran (Islamic Republic of),84,0.691,70.4,68.7,67.4,81.7,67,73,2137,8019
98,Kyrgyzstan,-1,-1,72.2,63.7,-1,-1,71,68,-1,-1
99,China,79,0.7,72.3,68.1,74.6,90.7,67,71,2440,3732
100,Turkmenistan,-1,-1,69.2,62.3,-1,-1,-1,-1,-1,-1
101,Tunisia,86,0.688,71,68.6,57.9,79.4,68,74,2772,7982
102,Moldova (Republic of),81,0.697,71.7,63.8,97.9,99.5,71,69,1548,2381
103,South Africa,85,0.689,56.2,50.3,83.9,85.4,94,93,5205,11886
104,El Salvador,83,0.693,72.7,66.7,75,80.8,63,64,2779,5343
105,Cape Verde,88,0.675,71.6,65.8,64.6,83.7,76,79,1931,4731
106,Uzbekistan,87,0.683,70.9,64.6,83.4,92.7,74,78,1613,2499
107,Algeria,91,0.661,70.6,67.7,54.3,76.5,64,71,2051,7467
108,Viet Nam,89,0.668,70,65.3,90.6,95.3,59,64,1395,1991
109,Indonesia,90,0.664,67.5,63.7,80.5,91.1,61,68,1780,3526
110,Tajikistan,92,0.659,70.4,64.5,98.6,99.5,65,73,777,1307
111,Syrian Arab Republic,95,0.636,71.5,66.9,58.1,87.2,56,63,1218,4530
112,Swaziland,93,0.646,63,58.4,77.3,79.5,70,74,2267,5485
113,Honduras,94,0.644,72.5,67.7,73.5,73.4,59,57,1252,3595
114,Bolivia,96,0.631,63.6,60.2,77.8,91.3,64,75,1217,3334
115,Namibia,98,0.624,50.6,49.5,79.7,81.9,84,80,3513,6852
116,Nicaragua,97,0.624,70.9,66.1,69.3,66.3,65,61,1256,3039
117,Mongolia,-1,-1,67.7,64.7,-1,-1,62,50,-1,-1
118,Vanuatu,-1,-1,69.9,65.8,-1,-1,44,49,-1,-1
119,Egypt,99,0.604,68.3,65.1,41.8,65.5,66,77,1576,4463
120,Guatemala,100,0.603,67.6,61.7,59.7,74.9,43,51,1614,5363
121,Solomon Islands,-1,-1,74.1,69.9,-1,-1,44,48,-1,-1
122,Botswana,101,0.584,47.1,45.1,78.2,72.8,71,70,3747,8550
123,Gabon,-1,-1,53.7,51.1,-1,-1,-1,-1,-1,-1
124,Morocco,103,0.57,68.9,65.2,34,60.3,43,56,1865,4743
125,Myanmar,102,0.582,62.3,59,79.5,88.7,54,55,1011,1389
126,Iraq,107,0.548,65.3,62.3,43.2,63.9,44,57,966,5352
127,Lesotho,104,0.556,56.4,54,92.9,71,61,53,982,2291
128,India,108,0.545,63.3,62.5,43.5,67.1,46,61,1105,2987
129,Ghana,105,0.552,62.2,58.7,59.9,78.5,38,48,1492,1980
130,Zimbabwe,106,0.551,44,43.1,82.9,91.7,66,71,1990,3359
131,Equatorial Guinea,109,0.542,52,48.8,71.5,91.4,60,69,1033,2623
133,Papua New Guinea,110,0.536,59.1,57.6,55.1,70.9,33,40,1714,2966
134,Cameroon,111,0.518,55.8,53.3,67.1,80.3,41,52,902,2054
135,Pakistan,115,0.489,65.6,63.3,28.9,58,28,56,776,2594
136,Cambodia,-1,-1,55.2,51.5,-1,-1,54,68,-1,-1
137,Comoros,113,0.503,60.6,57.8,51.6,65.5,35,42,974,1822
138,Kenya,112,0.503,52.2,50.5,73.5,87.6,49,50,764,1195
139,Congo,114,0.499,51.1,46.7,71.5,85.7,58,71,706,1297
140,Lao People's Democratic Republic,117,0.469,55,52.5,30.2,61.9,48,62,1390,2073
141,Madagascar,116,0.478,59.4,56.4,57.8,72.2,39,39,562,953
142,Bhutan,-1,-1,62.5,60,-1,-1,-1,-1,-1,-1
143,Sudan,118,0.453,56.8,54,43.4,68,31,37,645,2139
144,Nepal,119,0.449,57.6,58.1,21.7,56.9,49,69,783,1521
145,Togo,120,0.448,50.3,47.8,38.4,72.5,47,75,883,1870
146,Bangladesh,121,0.441,58.7,58.6,28.6,51.1,30,40,744,1949
147,Mauritania,122,0.441,55.5,52.3,31,51.7,36,45,1130,2003
148,Yemen,133,0.389,58.9,57.9,22.7,65.7,27,70,311,1122
149,Djibouti,-1,-1,52.4,49.1,51.4,74,17,24,-1,-1
150,Haiti,123,0.436,56.4,51.5,45.6,50.1,24,25,976,1805
151,Nigeria,124,0.425,51.5,48.7,52.5,70.1,38,48,477,1118
152,Congo (Democratic Republic of the),125,0.418,52.7,49.6,47.1,71.3,27,38,590,1060
153,Zambia,126,0.413,41,39.9,69.1,84,46,53,540,903
154,C_te d¡¯Ivoire,129,0.401,47.5,46.3,35.7,52.8,32,48,856,2313
155,Senegal,128,0.405,54.6,50.9,25.8,45.4,31,40,917,1698
156,Tanzania (United Republic of),127,0.41,49,46.8,64.3,83.3,32,33,400,561
157,Benin,132,0.391,55.3,51.8,22.6,53.8,31,53,715,1024
158,Uganda,130,0.401,41.5,39.9,54.2,76.1,36,44,865,1285
159,Eritrea,131,0.394,52.6,49.6,38.2,65.7,24,30,568,1102
160,Angola,-1,-1,48.6,45.4,-1,-1,23,28,-1,-1
161,Gambia,134,0.388,49,45.8,27.5,41.9,35,48,1085,1828
162,Guinea,-1,-1,47.4,46.4,-1,-1,19,36,-1,-1
163,Malawi,136,0.375,39.8,39.2,44.1,73.2,70,79,432,616
164,Rwanda,135,0.377,41.7,39.5,56.8,71.5,42,44,535,788
165,Mali,137,0.371,55,52.4,31.1,45.8,20,31,524,843
166,Central African Republic,138,0.359,46.8,42.9,31.7,57.5,20,33,856,1395
167,Chad,-1,-1,49,46,-1,-1,20,41,-1,-1
168,Mozambique,139,0.326,45,42.6,27,58.4,20,29,647,921
169,Guinea-Bissau,140,0.298,46.4,43.5,17.3,57.1,24,43,401,837
170,Burundi,-1,-1,44,41.3,37.5,54.8,20,25,-1,-1
171,Ethiopia,141,0.297,44.4,42.5,30.5,42.1,19,32,383,764
172,Burkina Faso,142,0.29,45.5,43.9,12.6,32,16,25,712,1028
173,Niger,143,0.28,50.5,47.3,7.4,22.4,11,19,541,941
174,Sierra Leone,-1,-1,39.4,36.5,-1,-1,-1,-1,-1,-1
